Plant_Code,Cost_Per_Unit
PLANT15,1.4150633766876566
PLANT17,0.42894658708921174
PLANT18,2.0362537598033468
PLANT05,0.48814438452738274
PLANT02,0.4775035189272224
PLANT01,0.5669761849295618
PLANT06,0.5540880976257885
PLANT10,0.4935818984829453
PLANT07,0.371423937425446
PLANT14,0.6343297377046666
PLANT16,1.9198075078524335
PLANT12,0.7731317943178858
PLANT11,0.5552472904512042
PLANT09,0.46507109738293506
PLANT03,0.5175018916254618
PLANT13,0.46970705658151307
PLANT19,0.6397625198174935
PLANT08,0.5228572991962216
PLANT04,0.42850329514821733
